job_id,requested_number_of_processors,execution_time,starting_time,allocated_processors
7834,16,2,9148684,20 21 22 23 24 25 26 27 28 29 30 68 69 70 71 72
7835,24,4,9148800,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 68 69 70 71 72 73 74 75
7836,4,2878,9149731,4 5 6 7
7837,1,12913,9150176,8
7838,1,12856,9150208,9
7839,1,12775,9150225,10
7840,8,32983,9150610,11 12 13 14 15 16 17 18
7841,24,6503,9162670,4 5 6 7 19 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70
7842,5,2524,9154238,71 72 73 74 75
7843,6,2008,9154252,76 77 78 79 80 99
7844,8,1641,9166438,2 3 8 9 10 71 72 73
7845,7,2188,9168221,74 75 76 77 78 79 80
7846,4,19,9154375,4 5 6 7
7847,5,7821,9169173,4 5 6 7 19
7848,1,11737,9156260,99
7849,2,14357,9169173,52 53
7850,3,11961,9156260,76 77 78
7851,2,2,9169173,54 55
7852,2,14363,9169173,56 57
7853,2,13,9157538,4 5
7854,2,13,9157539,6 7
7855,2,12,9157594,4 5
7856,16,20,9169173,2 3 8 9 10 58 59 60 61 62 63 64 65 66 67 68
7857,3,14,9158508,4 5 6
7858,16,14187,9172431,0 1 58 59 60 61 62 63 64 65 66 67 68 69 70 80
7859,3,16,9158811,4 5 6
7860,24,14217,9179376,2 3 8 9 10 54 55 71 72 73 77 78 79 81 82 83 84 85 86 87 88 89 90 91
7861,3,270,9162400,4 5 6
7862,2,1152,9163826,8 9
7863,7,191,9163843,10 71 72 73 74 75 79
7864,3,563,9164034,10 71 72
7865,4,384,9164034,73 74 75 79
7866,6,245,9164597,10 71 72 73 74 75
7867,8,181,9164842,10 71 72 73 74 75 79 80
7868,9,150,9165023,8 9 10 71 72 73 74 75 79
7869,10,120,9165173,8 9 10 71 72 73 74 75 79 80
7870,3,12,9165412,8 9 10
7871,3,268,9166057,8 9 10
7872,9,20,9168079,2 3 8 9 10 71 72 73 99
7873,3,558,9166473,74 75 79
7874,10,9554,9169718,2 3 8 9 10 54 55 71 72 73
7875,3,17,9167031,74 75 79
7876,3,15,9167703,74 75 79
7877,8,9579,9177009,4 5 6 7 19 74 75 76
7878,20,153,9169193,2 3 8 9 10 54 55 58 59 60 61 62 63 64 65 66 67 68 69 70
7879,16,8088,9186588,4 5 6 7 11 12 13 14 15 16 17 18 19 52 53 56
7880,16,24,9186618,0 1 57 58 59 60 61 62 63 64 65 66 67 68 69 70
7881,3,14,9168397,2 3 8
7882,16,17,9169346,2 3 8 9 10 54 55 58 59 60 61 62 63 64 65 66
7883,20,183,9169363,2 3 8 9 10 54 55 58 59 60 61 62 63 64 65 66 67 68 69 70
7884,20,172,9169546,2 3 8 9 10 54 55 58 59 60 61 62 63 64 65 66 67 68 69 70
7885,9,15,9170228,58 59 60 61 62 63 64 65 66
7886,20,916,9170409,58 59 60 61 62 63 64 65 66 67 68 69 70 74 75 76 77 78 79 80
7887,20,546,9171325,58 59 60 61 62 63 64 65 66 67 68 69 70 74 75 76 77 78 79 80
7888,80,4498,9210105,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
7889,80,109,9214603,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
7890,9,15,9176994,4 5 6 7 19 74 75 76 77
7891,66,34,9195041,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 71 72 73 77 78 79 81 85 86 87 88
7892,55,2774,9195075,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
7893,1,1002,9174224,74
7894,1,2041,9174366,99
7895,1,50365,9176407,99
7896,2,47944,9186642,96 97
7897,2,15,9176131,74 75
7898,9,13714,9195105,80 81 85 86 87 88 89 90 91
7899,9,53341,9208819,80 81 82 83 84 85 86 87 88
7900,1,14365,9179376,92
7901,4,6836,9194676,92 93 94 95
7902,2,2974,9181486,93 94
7903,4,11,9201512,92 93 94 95
7904,1,986,9182565,95
7905,32,12256,9197849,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
7906,1,951,9184248,95
7907,4,44912,9201523,92 93 94 95
7908,20,8463,9186642,0 1 57 58 59 60 61 62 63 64 65 66 67 68 69 70 74 75 76 80
7909,1,41921,9189472,98
7910,1,2,9206628,83
7911,1,12763,9193740,82
7912,1,12859,9193769,83
7913,1,12941,9193809,84
7914,1,1394,9206503,82
7915,16,13921,9214712,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
7916,16,13822,9214712,16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
7917,16,1982,9214712,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
7918,16,372,9214712,57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
7919,16,14176,9214712,48 49 50 51 52 53 54 55 56 73 74 75 76 77 78 79
7920,16,21,9215084,57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72
7921,16,19,9217837,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
7922,4,16,9237600,0 1 2 3
7923,4,13,9237919,0 1 2 3
7924,80,7871,9238314,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
7925,8,14332,9246435,89 90 91 92 93 94 95 96
7926,2,14394,9239011,97 98
7927,1,12822,9239040,99
7928,4,1795,9246185,0 1 2 3
7929,16,9,9246185,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
7930,8,371,9246185,20 21 22 23 24 25 26 27
7931,1,9103,9246185,28
7932,1,179939,9246185,29
7933,24,5277,9246185,30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53
7934,24,14078,9246185,54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77
7935,4,5091,9251462,46 47 48 49
7936,64,53471,9260263,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
7937,4,14362,9253405,78 79 97 98
7938,16,694,9246194,4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19
7939,2,24,9244869,89 90
7940,2,13,9245186,89 90
7941,2,12,9245426,89 90
7942,4,46,9245791,89 90 91 96
7943,1,1076,9251862,99
7944,1,6248,9252938,99
7945,2,874,9260263,69 70
7946,1,14360,9260263,71
7947,1,14334,9260263,72
7948,24,13909,9262160,46 47 48 49 73 74 75 76 77 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94
7949,1,57,9247772,4
7950,1,13,9248591,0
7951,15,8795,9250127,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
7952,2,775,9260767,95 99
7953,3,1404,9267767,78 79 96
7954,4,1237,9274623,69 70 71 72
7955,4,15,9252320,15 16 17 18
7956,4,10799,9263470,69 70 95 99
7957,2,14,9252858,15 16
7958,32,426,9253325,15 16 17 18 19 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 50 51 52
7959,8,8981,9276069,46 47 48 49 69 70 71 72
7960,8,52180,9276069,77 80 81 82 83 84 85 86
7961,32,324,9255140,15 16 17 18 19 20 21 22 23 24 25 26 27 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 50 51 52
7962,1,10,9255379,28
7963,8,52093,9276069,87 88 89 90 91 92 93 94
7964,32,356,9255507,15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 50 51
7965,3,16,9255863,15 16 17
7966,1,8,9256040,15
7967,1,5852,9267767,97
7968,1,7006,9267767,98
7969,1,9,9256946,15
7970,1,899,9257179,15
7971,1,12777,9274269,95
7972,1,12840,9274269,99
7973,1,12918,9269171,78
7974,3,2333,9261137,69 70 96
7975,6,9,9285050,46 47 48 49 73 74
7976,1,894,9263470,96
7977,32,133127,9313734,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 30 31 32
7978,16,8603,9287046,46 47 48 49 69 70 71 72 73 74 75 76 78 79 95 96
7979,1,14382,9269171,79
7980,1,7114,9269171,96
7981,1,9071,9273619,97
7982,9,20,9283553,73 74 75 76 78 79 96 97 98
7983,2,47967,9283573,97 98
7984,6,47978,9295649,46 47 48 49 69 70
7985,9,16,9285050,69 70 71 72 75 76 78 79 96
7986,16,8521,9313734,33 34 35 36 37 38 39 40 41 42 43 44 45 50 51 52
7987,16,14205,9313734,53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
7988,16,14247,9327939,53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
7989,16,14076,9322255,33 34 35 36 37 38 39 40 41 42 43 44 45 50 51 52
7990,16,52752,9328249,71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86
7991,4,19,9328162,87 88 89 90
7992,4,23907,9328162,91 92 93 94
7993,4,258,9331540,95 96 97 98
7994,4,19,9336331,33 34 35 36
7995,7,17718,9336331,37 38 39 40 41 42 43
7996,16,8365,9342186,33 34 35 36 44 45 50 51 52 53 54 55 56 57 58 59
7997,12,26339,9350551,33 34 35 36 44 45 50 51 52 53 54 55
7998,5,53389,9342186,64 65 66 67 68
7999,1,6102,9287109,99
8000,1,14365,9295649,79
8001,2,1732,9295649,71 72
8002,2,7174,9295649,73 74
8003,3,1200,9295649,75 76 78
8004,4,928,9302823,71 72 73 74
8005,16,8683,9358919,37 38 39 40 41 42 43 46 47 48 49 56 57 58 59 60
8006,1,8,9295649,95
8007,1,12781,9295649,96
8008,1,12850,9293211,99
8009,1,12919,9295657,95
8010,16,10027,9367602,37 38 39 40 41 42 43 46 47 48 49 56 57 58 59 60
8011,1,11,9303751,71
8012,1,12,9303751,72
8013,4,1009,9303751,73 74 75 76
8014,3,1760,9303763,71 72 78
8015,16,52720,9381001,70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85
8016,6,1660,9343627,46 47 48 49 60 61
8017,12,13710,9376890,33 34 35 36 44 45 50 51 52 53 54 55
8018,2,20,9322202,71 72
8019,6,2824,9342186,62 63 89 90 96 97
8020,1,282,9323027,71
8021,8,33115,9361192,87 88 89 90 95 96 97 98
8022,4,10289,9328181,87 88 89 90
8023,2,14,9323956,71 72
8024,2,7,9324140,71 72
8025,2,13,9324234,71 72
8026,2,12,9324590,71 72
8027,6,13632,9345287,46 47 48 49 60 61
8028,6,14322,9346870,62 63 69 89 90 96
8029,1,767,9325681,99
8030,1,14345,9326448,99
8031,1,757,9331798,95
8032,1,1160,9331798,96
8033,2,2930,9331798,97 98
8034,1,14069,9332555,95
8035,4,16,9326709,71 72 73 74
8036,32,12410,9390600,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 69
8037,16,8,9397596,64 65 66 67 68 86 87 88 89 90 91 92 93 94 95 96
8038,16,7,9397604,64 65 66 67 68 86 87 88 89 90 91 92 93 94 95 96
8039,4,1622,9352069,91 92 93 94
8040,3,2037,9338470,87 88 89
8041,2,15,9328446,95 96
8042,80,188,9452348,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
8043,2,14345,9340507,87 88
8044,1,14363,9340507,98
8045,1,1281,9340793,99
8046,1,8,9331321,95
8047,1,6,9332958,96
8048,1,7,9332964,96
8049,5,157,9354852,70 87 88 95 97
8050,1,191,9334166,96
8051,1,1576,9336614,33
8052,5,14,9336905,34 35 36 44 45
8053,4,1112,9345010,62 63 69 70
8054,5,335,9346122,62 63 69 70 89
8055,1,8340,9342074,99
8056,6,167,9346457,62 63 69 70 89 90
8057,2,42,9343100,60 61
8058,4,31,9345010,89 90 96 97
8059,1,17,9343397,60
8060,4,14,9345041,89 90 96 97
8061,4,12,9345055,89 90 96 97
8062,1,13,9343815,69
8063,9,22,9346624,62 63 69 70 89 90 95 96 97
8064,4,19,9345067,89 90 96 97
8065,6,772,9350551,56 57 58 59 70 95
8066,4,12,9345086,89 90 96 97
8067,50,2588,9403010,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 86 87 88 89 90 91 92 93 94 95 96 97 98
8068,1,15,9345859,89
8069,9,24,9346646,62 63 69 70 89 90 95 96 97
8070,4,20,9345886,89 90 96 97
8071,16,188,9354281,37 38 39 40 41 42 43 56 57 58 59 70 91 92 93 94
8072,4,200,9346670,62 63 69 70
8073,1,106,9346670,89
8074,9,287,9353691,56 57 58 59 70 91 92 93 94
8075,1,2324,9347477,70
8076,16,419,9354469,37 38 39 40 41 42 43 56 57 58 59 91 92 93 94 99
8077,25,358,9377629,37 38 39 40 41 42 43 46 47 48 49 56 57 58 59 60 61 62 63 69 70 91 92 93 94
8078,36,222,9405598,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68
8079,9,303,9353978,56 57 58 59 70 91 92 93 94
8080,24,3623,9405820,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56
8081,5,264,9351323,56 57 58 59 70
8082,16,21515,9405820,68 69 86 87 88 89 90 91 92 93 94 95 96 97 98 99
8083,2,47908,9427335,97 98
8084,64,9,9433721,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95
8085,36,88,9426124,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67
8086,49,102,9427335,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 86 87 88 89 90 91 92 93 94 95 96
8087,25,80,9377987,37 38 39 40 41 42 43 46 47 48 49 56 57 58 59 60 61 62 63 69 70 91 92 93 94
8088,5,19529,9378067,91 92 93 94 99
8089,5,329,9351776,56 57 58 59 70
8090,4,47975,9433730,80 81 82 83
8091,8,2,9361192,61 62 63 69 70 91 92 93
8092,4,52736,9433730,84 85 86 87
8093,15,34,9378067,37 38 39 40 41 42 43 46 47 48 49 56 57 58 59
8094,16,3581,9409443,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
8095,16,14261,9433730,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
8096,16,14197,9433730,48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
8097,6,13653,9406720,57 58 59 60 61 62
8098,6,1050,9409443,49 50 51 52 53 54
8099,4,14058,9408616,63 64 65 66
8100,64,53400,9452536,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
8101,1,13082,9409006,67
8102,8,14274,9410527,49 50 51 52 53 54 55 56
8103,80,7714,9505936,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
8104,1,1069,9413024,33
8105,1,98,9427335,99
8106,1,189,9427433,99
8107,1,1032,9427437,96
8108,1,700,9414377,33
8109,1,585,9433730,64
8110,2,14368,9433730,65 66
8111,2,14371,9433730,67 68
8112,1,311,9433730,69
8113,1,256,9433730,70
8114,25,27,9422674,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 57 58 59 60 61 62 63 64 65
8115,16,28,9415077,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
8116,4,23,9414946,34 35 36 37
8117,9,22,9414951,38 39 40 41 42 43 44 45 46
8118,1,17,9414977,34
8119,3,14,9415466,33 34 35
8120,4,14386,9433730,71 72 73 74
8121,1,847,9415959,33
8122,1,166,9415965,34
8123,1,1859,9415965,35
8124,1,328,9415998,36
8125,1,95,9416001,37
8126,3,18,9416382,34 36 37
8127,3,16,9416543,34 36 37
8128,1,164,9427622,99
8129,1,417,9427786,99
8130,2,1424,9433730,75 76
8131,2,52,9433730,77 78
8132,2,1006,9433730,79 88
8133,1,392,9417138,33
8134,1,815,9428469,96
8135,7,45,9435154,64 69 70 75 76 77 78
8136,3,21,9417653,33 34 36
8137,1,1245,9417860,33
8138,1,1759,9417940,34
8139,1,708,9418001,35
8140,1,482,9418038,36
8141,2,1111,9418184,37 38
8142,3,16,9418896,35 36 39
8143,3,17,9419187,33 35 36
8144,36,12,9426212,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67
8145,7,6403,9433730,90 91 92 93 94 95 99
8146,2,215954,9440133,92 93
8147,3,19,9421658,33 34 35
8148,3,13,9421887,33 34 35
8149,3,17,9422210,33 34 35
8150,3,14,9422701,33 34 35
8151,10,17,9422701,36 37 38 39 40 41 42 43 44 45
8152,16,23,9423310,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
8153,9,203,9423349,33 34 35 36 37 38 39 40 41
8154,16,281,9423359,42 43 44 45 46 47 48 57 58 59 60 61 62 63 64 65
8155,1,93,9423360,66
8156,4,152,9423552,33 34 35 36
8157,3,16,9423552,37 38 39
8158,25,378,9424076,33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 57 58 59 60 61 62 63 64 65
8159,4,157,9424454,33 34 35 36
8160,9,230,9424454,37 38 39 40 41 42 43 44 45
8161,1,82,9424110,66
8162,16,300,9424611,33 34 35 36 46 47 48 57 58 59 60 61 62 63 64 65
8163,36,464,9427437,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67
8164,1,8,9424292,66
8165,3,14,9424454,46 47 48
8166,16,1170,9424801,37 38 39 40 41 42 43 44 45 49 50 51 52 53 54 55
8167,16,1069,9424911,33 34 35 36 46 47 48 57 58 59 60 61 62 63 64 65
8168,3,14,9424900,56 66 67
8169,1,9,9425128,56
8170,3,14,9425373,56 66 67
8171,1,10,9426224,29
8172,17,66,9427901,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48
8173,1,8132,9429284,96
8174,1,8798,9433986,89
8175,1,10017,9434736,79
8176,1,11,9426334,29
8177,1,3594,9427437,68
8178,1,3568,9427437,69
8179,3,249,9426542,29 33 34
8180,8,2,9440133,75 76 77 78 88 90 91 94
8181,32,3,9513650,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31
8182,16,21,9428656,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
8183,25,31,9428657,48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 86 87 88 89 90
8184,64,40,9450807,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 72 73 74 75 76 77 78 79
8185,4,19,9428682,29 33 34 35
8186,36,36,9428688,36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 86 87 88 89
8187,49,36,9431031,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 86 87 88 89 90 91 92 93 94 95 99
8188,1,15,9428693,90
8189,9,12,9428701,29 33 34 35 91 92 93 94 95
8190,3,259,9428824,29 33 34
8191,16,804,9431067,29 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
8192,2,18,9433107,29 33
8193,3,22,9433150,29 33 34
8194,6,26,9433166,35 36 37 38 39 40
8195,8,28,9433166,41 42 43 44 45 46 47 48
8196,4,27,9433167,49 50 51 52
8197,5,27,9433168,53 54 55 56 57
8198,16,34,9433182,29 33 34 58 59 60 61 62 63 64 65 66 67 68 69 86
8199,12,31,9433192,35 36 37 38 39 40 87 88 89 90 91 92
8200,24,43,9446861,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
8201,16,10679,9452536,64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
8202,8,52148,9450807,88 89 90 91 94 95 96 99
8203,16,47514,9513650,32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47
8204,1,10,9434824,64
8205,16,4232,9448116,56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71
8206,16,493,9444753,64 69 70 75 76 77 78 79 88 89 90 91 94 95 96 99
8207,1,9,9435607,64
8208,2,1139,9435609,69 70
8209,1,9,9435626,64
8210,1,8,9436225,64
8211,1,7,9436316,64
8212,1,9,9436344,64
8213,1,11,9436449,64
8214,1,21136,9475243,98
8215,1,58885,9481705,81
8216,16,52707,9513650,48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
8217,16,52736,9513650,64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
8218,1,12107,9481705,82
8219,15,11935,9463215,64 65 66 67 68 69 70 71 72 73 74 75 76 77 78
8220,16,3946,9446861,24 25 26 27 28 30 31 32 75 76 77 78 79 88 89 90
8221,16,1021,9475150,64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
8222,8,32,9442393,64 69 70 75 76 77 78 88
8223,3,28,9442397,90 91 94
8224,4,28,9442425,64 69 70 75
8225,12,42,9442458,64 69 70 75 76 77 78 88 90 91 94 95
8226,2,24,9442412,95 96
8227,5,33,9442425,76 77 78 88 99
8228,16,43,9445246,64 69 70 75 76 77 78 79 88 89 90 91 94 95 96 99
8229,6,31,9442500,64 69 70 75 76 77
8230,1,25259,9475243,97
8231,1,26923,9481705,80
8232,5,3757,9479446,69 72 73 74 75
8233,1,8,9481705,83
8234,1,7,9481713,83
8235,1,9,9481720,83
8236,1,2724,9476171,64
8237,1,5696,9476171,65
8238,1,6537,9476171,66
8239,1,8191,9476171,67
8240,1,4775,9476171,68
8241,1,1237,9476171,69
8242,1,3402,9476171,70
8243,1,11605,9476171,71
8244,2,1545,9476171,72 73
8245,2,3275,9476171,74 75
8246,2,3790,9476171,76 77
8247,2,6725,9476171,78 79
8248,1,28634,9481729,83
8249,1,37436,9486466,84
8250,2,2003,9479573,64 70
8251,16,8,9490124,64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
8252,16,7,9490254,64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
8253,2,2907,9490705,64 65
8254,1,64529,9490821,85
8255,2,9214,9494625,82 86
8256,1,27776,9495500,87
8257,8,10595,9502955,88 89 90 91 94 95 96 97
8258,8,33093,9513653,0 1 2 3 4 5 6 7
8259,1,14360,9500502,98
8260,3,1129,9513550,94 95 96
8261,3,2587,9513653,8 9 10
8262,3,2246,9513653,11 12 13
8263,3,4548,9513653,14 15 16
8264,2,2355,9503839,82 86
8265,2,14,9513653,17 18
8266,2,1936,9506194,82 86
8267,3,5498,9513653,19 20 21
8268,2,1346,9513653,22 23
8269,2,118,9513653,24 25
8270,2,3570,9508130,82 86
8271,2,178,9513653,26 27
8272,2,456,9513653,28 29
8273,4,5133,9511700,80 82 83 86
8274,2,3386,9513653,30 31
8275,1,35963,9513653,88
8276,1,297,9510397,80
8277,1,874,9510399,83
8278,1,14364,9513653,89
8279,1,14379,9513653,90
8280,1,14389,9513653,91
8281,1,14392,9513653,97
8282,1,25410,9513667,17
8283,1,2614,9513667,18
8284,1,8444,9513771,24
8285,2,3706,9513831,25 26
8286,3,1262,9514109,27 28 29
8287,1,2366,9512863,99
8288,1,26034,9514679,94
8289,1,27439,9514679,95
8290,2,1704,9514862,96 98
8291,8,24,9516667,8 9 10 11 12 13 18 22
8292,24,20904,9518201,8 9 10 11 12 13 14 15 16 18 22 23 25 26 27 28 29 30 31 80 82 83 86 96
8293,2,6191,9521214,19 20
8294,2,1642,9521339,21 98
8295,1,2460,9522473,24
8296,1,3561,9522474,99
8297,1,301,9522981,21
8298,1,1750,9528420,19
8299,1,7158,9528480,20
8300,16,52726,9539105,8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23
8301,3,29,9531010,84 87 89
8302,3,14383,9531083,84 87 89
8303,3,3481,9531127,19 21 24
8304,2,7155,9531185,90 91
8305,1,302,9531443,97
8306,1,242,9531504,98
8307,1,4581,9531542,99
8308,2,2426,9531746,97 98
8309,1,3358,9534172,98
8310,1,2621,9536030,97
8311,1,471,9536123,99
8312,1,1858,9534172,97
8313,1,28105,9540036,24
8314,1,35985,9540094,25
8315,1,27440,9540107,26
8316,2,2986,9540127,27 28
8317,1,5162,9540133,29
8318,1,14400,9540133,30
8319,2,8622,9540155,31 80
8320,4,4750,9540229,82 83 86 90
8321,4,1650,9540266,91 96 97 98
8322,3,6080,9540713,81 94 99
8323,3,2113,9541916,91 96 97
8324,5,1314,9544354,27 28 91 95 96
8325,8,2366,9545466,29 82 83 84 86 87 89 90
8326,8,868,9546746,0 1 2 3 4 5 6 7
8327,7,2723,9547023,27 28 81 91 94 95 96
8328,1,70398,9548745,0
8329,1,71821,9548869,1
8330,7,1002,9549256,2 3 4 5 6 7 29
8331,3,11067,9552006,2 3 4
8332,1,62481,9552390,5
8333,6,3058,9554462,6 7 27 28 29 31
8334,6,1094,9555414,30 80 81 82 83 84
8335,5,3662,9556577,30 80 81 82 83
8336,9,2111,9584513,2 3 4 6 7 24 25 26 27
8337,10,13,9584516,28 29 30 31 32 33 34 35 36 37
8338,1,15,9586328,28
8339,3,28,9586333,29 30 31
8340,4,28,9586335,32 33 34 35
8341,5,30,9586335,36 37 38 39 40
8342,8,31,9586342,41 42 43 44 45 46 47 48
8343,9,32,9586344,28 49 50 51 52 53 54 55 56
8344,6,28,9586345,57 58 59 60 61 62
8345,2,22,9586353,63 64
8346,10,30,9586365,29 30 31 32 33 34 35 65 66 67
8347,7,35,9586369,36 37 38 39 40 68 69
8348,4,33,9586393,28 41 42 43
8349,2,24,9586400,29 30
